identifier,url,format
selection-fy12-gender_in_the_economy_fy12,http://data.mcc.gov/raw/selection/fy12/gender_in_the_economy_fy12.csv,csv
selection-fy12-girls_primary_education_completion_rates_fy12,http://data.mcc.gov/raw/selection/fy12/girls_primary_education_completion_rates_fy12.csv,csv
selection-fy12-girls_secondary_education_completion_rates_fy12,http://data.mcc.gov/raw/selection/fy12/girls_secondary_education_completion_rates_fy12.csv,csv
selection-fy12-government_efficiency_fy12,http://data.mcc.gov/raw/selection/fy12/government_efficiency_fy12.csv,csv
selection-fy12-health_expenditures_fy12,http://data.mcc.gov/raw/selection/fy12/health_expenditures_fy12.csv,csv
selection-fy12-immunization_rates_fy12,http://data.mcc.gov/raw/selection/fy12/immunization_rates_fy12.csv,csv
selection-fy12-inflation_fy12,http://data.mcc.gov/raw/selection/fy12/inflation_fy12.csv,csv
selection-fy12-land_rights_and_access_fy12,http://data.mcc.gov/raw/selection/fy12/land_rights_and_access_fy12.csv,csv
selection-fy12-natural_resource_protection_fy12,http://data.mcc.gov/raw/selection/fy12/natural_resource_protection_fy12.csv,csv
selection-fy12-political_rights_fy12,http://data.mcc.gov/raw/selection/fy12/political_rights_fy12.csv,csv
selection-fy12-regulatory_quality_fy12,http://data.mcc.gov/raw/selection/fy12/regulatory_quality_fy12.csv,csv
selection-fy12-rule_of_law_fy12,http://data.mcc.gov/raw/selection/fy12/rule_of_law_fy12.csv,csv
selection-fy12-trade_policy_fy12,http://data.mcc.gov/raw/selection/fy12/trade_policy_fy12.csv,csv
selection-fy12-lic_indicators_fy12,http://data.mcc.gov/raw/selection/fy12/lic_indicators_fy12.csv,csv
selection-fy12-lmic_indicators_fy12,http://data.mcc.gov/raw/selection/fy12/lmic_indicators_fy12.csv,csv
finance-finance_fy13_q1,http://data.mcc.gov/raw/finance/finance_fy13_q1.csv,csv
