title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,COMMON-EXPANDED,dataDictionary,accessURL,webService,format,license,spatial,temporal,EXPANDED,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,size,landingPage,feed,systemOfRecords
Income Categories,Income categories descriptions,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-income_categories_fy13,Public,,http://data.mcc.gov/selection/fy13/income_categories_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
GNI Limits indicator details,GNI Limits indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-gni_limits_fy13,Public,,http://data.mcc.gov/selection/fy13/gni_limits_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
GNI per country,GNI data for countries including override values,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-gni_fy13,Public,,http://data.mcc.gov/selection/fy13/gni_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Indicators Threshold,Threshold values per indicator for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-indicators_threshold_fy13,Public,,http://data.mcc.gov/selection/fy13/indicators_threshold_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Access To Credit indicator details,Access To Credit indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-access_to_credit_fy13,Public,,http://data.mcc.gov/selection/fy13/access_to_credit_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Bussness Start Up indicator details,Bussness Start Up indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-business_start_up_fy13,Public,,http://data.mcc.gov/selection/fy13/business_start_up_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Child Health indicator details,Child Health indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-child_health_fy13,Public,,http://data.mcc.gov/selection/fy13/child_health_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Civil Liberties indicator details,Civil Liberties indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-civil_liberties_fy13,Public,,http://data.mcc.gov/selection/fy13/civil_liberties_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Control Of Corruption indicator details,Control Of Corruption indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-control_of_corruption_fy13,Public,,http://data.mcc.gov/selection/fy13/control_of_corruption_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Education Expenditures indicator details,Education Expenditures indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-education_expenditures_fy13,Public,,http://data.mcc.gov/selection/fy13/education_expenditures_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Fiscal Policy indicator details,Fiscal Policy indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-fiscal_policy_fy13,Public,,http://data.mcc.gov/selection/fy13/fiscal_policy_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Freedom Of Information indicator details,Freedom Of Information indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-freedom_of_information_fy13,Public,,http://data.mcc.gov/selection/fy13/freedom_of_information_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Gender In The Economy indicator details,Gender In The Economy indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-gender_in_the_economy_fy13,Public,,http://data.mcc.gov/selection/fy13/gender_in_the_economy_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Girls Primary Education Completion Rates indicator details,Girls Primary Education Completion Rates indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-girls_primary_education_completion_rates_fy13,Public,,http://data.mcc.gov/selection/fy13/girls_primary_education_completion_rates_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Girls Secondary Education Completion Rates indicator details,Girls Secondary Education Completion Rates indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-girls_secondary_education_completion_rates_fy13,Public,,http://data.mcc.gov/selection/fy13/girls_secondary_education_completion_rates_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Goverment Efficiency indicator details,Goverment Efficiency indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-government_efficiency_fy13,Public,,http://data.mcc.gov/selection/fy13/government_efficiency_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Health Expenditures indicator details,Health Expenditures indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-health_expenditures_fy13,Public,,http://data.mcc.gov/selection/fy13/health_expenditures_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Immunization Rates indicator details,Immunization Rates indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-immunization_rates_fy13,Public,,http://data.mcc.gov/selection/fy13/immunization_rates_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Inflation indicator details,Inflation indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-inflation_fy13,Public,,http://data.mcc.gov/selection/fy13/inflation_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Land Rights And Access indicator details,Land Rights And Access indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-land_rights_and_access_fy13,Public,,http://data.mcc.gov/selection/fy13/land_rights_and_access_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Natural Resource Protection indicator details,Natural Resource Protection indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-natural_resource_protection_fy13,Public,,http://data.mcc.gov/selection/fy13/natural_resource_protection_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Political Rights indicator details,Political Rights indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-political_rights_fy13,Public,,http://data.mcc.gov/selection/fy13/political_rights_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Regulatory Quality indicator details,Regulatory Quality indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-regulatory_quality_fy13,Public,,http://data.mcc.gov/selection/fy13/regulatory_quality_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Rule Of Law indicator details,Rule Of Law indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-rule_of_law_fy13,Public,,http://data.mcc.gov/selection/fy13/rule_of_law_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Trade Policy indicator details,Trade Policy indicator calculation details for FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-trade_policy_fy13,Public,,http://data.mcc.gov/selection/fy13/trade_policy_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
LIC Countries Indicators Summary FY13,LIC Countries Indicators Summary FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-lic_indicators_fy13,Public,,http://data.mcc.gov/selection/fy13/lic_indicators_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
LMIC Countries Indicators Summary FY13,LMIC Countries Indicators Summary FY13,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy13-lmic_indicators_fy13,Public,,http://data.mcc.gov/selection/fy13/lmic_indicators_fy13.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country selection indicators for FY13,,,http://data.mcc.gov,,Country Selection Database
Selection Indicators FY12,Selection Indicators values for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-selection_indicators_fy12,Public,,http://data.mcc.gov/selection/fy12/selection_indicators_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Indicator Categories,Categories of indicators used for country selection,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-indicator_categories_fy12,Public,,http://data.mcc.gov/selection/fy12/indicator_categories_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Indicators,Information about indicators used in FY12 country selection,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-indicators_fy12,Public,,http://data.mcc.gov/selection/fy12/indicators_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Income Categories,Income categories descriptions,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-income_categories_fy12,Public,,http://data.mcc.gov/selection/fy12/income_categories_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
GNI Limits indicator details,GNI Limits indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-gni_limits_fy12,Public,,http://data.mcc.gov/selection/fy12/gni_limits_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
GNI per country,GNI data for countries including override values,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-gni_fy12,Public,,http://data.mcc.gov/selection/fy12/gni_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Indicators Threshold,Threshold values per indicator for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-indicators_threshold_fy12,Public,,http://data.mcc.gov/selection/fy12/indicators_threshold_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Access To Credit indicator details,Access To Credit indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-access_to_credit_fy12,Public,,http://data.mcc.gov/selection/fy12/access_to_credit_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Bussness Start Up indicator details,Bussness Start Up indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-business_start_up_fy12,Public,,http://data.mcc.gov/selection/fy12/business_start_up_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Child Health indicator details,Child Health indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-child_health_fy12,Public,,http://data.mcc.gov/selection/fy12/child_health_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Civil Liberties indicator details,Civil Liberties indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-civil_liberties_fy12,Public,,http://data.mcc.gov/selection/fy12/civil_liberties_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Control Of Corruption indicator details,Control Of Corruption indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-control_of_corruption_fy12,Public,,http://data.mcc.gov/selection/fy12/control_of_corruption_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Education Expenditures indicator details,Education Expenditures indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-education_expenditures_fy12,Public,,http://data.mcc.gov/selection/fy12/education_expenditures_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Fiscal Policy indicator details,Fiscal Policy indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-fiscal_policy_fy12,Public,,http://data.mcc.gov/selection/fy12/fiscal_policy_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Freedom Of Information indicator details,Freedom Of Information indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-freedom_of_information_fy12,Public,,http://data.mcc.gov/selection/fy12/freedom_of_information_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Gender In The Economy indicator details,Gender In The Economy indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-gender_in_the_economy_fy12,Public,,http://data.mcc.gov/selection/fy12/gender_in_the_economy_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Girls Primary Education Completion Rates indicator details,Girls Primary Education Completion Rates indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-girls_primary_education_completion_rates_fy12,Public,,http://data.mcc.gov/selection/fy12/girls_primary_education_completion_rates_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Girls Secondary Education Completion Rates indicator details,Girls Secondary Education Completion Rates indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-girls_secondary_education_completion_rates_fy12,Public,,http://data.mcc.gov/selection/fy12/girls_secondary_education_completion_rates_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Goverment Efficiency indicator details,Goverment Efficiency indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-government_efficiency_fy12,Public,,http://data.mcc.gov/selection/fy12/government_efficiency_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
Health Expenditures indicator details,Health Expenditures indicator calculation details for FY12,"countries, indicators, selection, international development, aid",5/1/13 0:00,Millennium Challenge Corporation,Open Data Initiative,opendata@mcc.gov,selection-fy12-health_expenditures_fy12,Public,,http://data.mcc.gov/selection/fy12/health_expenditures_fy12.html,,,csv,data.mcc.gov terms of use - http://data.mcc.gov/termsofuse.html,,,,5/1/13 0:00,Annually,English,,TRUE,Country Selection data FY12,,,http://data.mcc.gov,,Country Selection Database
